Revenue,Profit Margin,returnOnEquity,Book Value per Share,Operating Cash Flow,Class
442400000.0,0.241,0.0313,23.141,267000000.0,0
2104454000.0,0.024,0.0559,17.799,29734000.0,0
174006000.0,0.09,0.0572,2.151,60192000.0,0
507515000.0,0.129,0.0309,10.09,265263000.0,0
0.0,0.051,-0.0976,2.5780000000000003,-5037162.0,0
410389000.0,0.024,0.0103,12.546,127486000.0,0
3235611000.0,0.049,0.2,21.868,221550000.0,0
4376353000.0,0.067,0.2109,10.683,278149000.0,0
1282500000.0,0.17,0.3334,19.477,242900000.0,0
298634000.0,0.016,0.0185,9.201,-34095000.0,1
2066288000.0,-0.011,-0.0721,3.803,226727000.0,0
862087000.0,-0.095,-0.2113,12.465,32542000.0,1
987400000.0,0.012,0.0764,3.2510000000000003,15000000.0,0
495888000.0,0.039,0.0452,19.196,65037000.0,0
4258000000.0,-0.065,-0.1315,22.262,186000000.0,0
447402000.0,0.175,0.2443,9.19,76024000.0,0
408978000.0,0.0409999999999999,0.093,9.798,29232000.0,0
794300000.0,0.113,0.1834,16.172,165900000.0,1
1810342000.0,0.038,0.1067,15.025,99577000.0,0
1175112000.0,0.096,0.2578,6.827999999999999,144588000.0,0
0.0,0.051,0.0779499999999999,10.419,-424536.0,0
1837700000.0,-0.02,-0.0526,23.767,77386000.0,1
0.0,0.051,-0.0501,4.6919,-3660929.432,1
1126890000.0,0.037,0.0918,22.434,60281000.0,0
154068000.0,0.06,0.043,13.254,33054000.0,0
0.0,0.051,-0.1461,0.537,-6843578.0,0
2660329000.0,0.002,0.0079,9.907,73120000.0,1
0.0,0.051,-0.1831,0.5670000000000001,-4526691.0,1
3835500000.0,0.021,0.102,8.411,208400000.0,0
1651900000.0,0.06,0.127,6.739,87700000.0,0
237162000.0,0.264,0.0266,36.277,147202000.0,0
290136000.0,-0.011,-0.0117,11.402,29430000.0,0
391660000.0,0.106,0.3662,1.754,58642000.0,0
518020000.0,-0.012,0.1516,3.052,19602000.0,1
771445000.0,0.036,0.0786,12.502,52921000.0,1
356322000.0,0.124,0.2537,3.176,53518000.0,1
0.0,0.051,-0.059,2.333,-22842000.0,0
666045000.0,0.053,0.1256,34.322,64435000.0,0
424502000.0,0.037,0.0524,7.065,77991000.0,0
839186000.0,0.077,0.1389,21.284,126781000.0,0
353000000.0,-0.0028328611898017,0.0779499999999999,10.419,40000000.0,1
595384000.0,0.049,0.0695,11.337,20778000.0,1
115405000.0,0.13,0.1706,1.629,37653000.0,0
541383000.0,0.098,0.1348,12.748,85350000.0,0
289643000.0,0.054,0.1286,5.007,23205000.0,0
65493106.0,0.213,0.2357,1.416,2460362.0,0
1904600000.0,0.0279999999999999,0.1126,1.396,67300000.0,0
1967139000.0,-0.001,-0.0047,25.472,139100000.0,0
348263000.0,0.052,0.0992,17.299,34612000.0,0
1991811000.0,0.0,-0.0003,10.777,93301000.0,1
295134251.2909,-0.1351,-0.1276,1.8382,43519793.4596,0
47649000.0,0.0579999999999999,0.0723,2.0580000000000003,-879000.0,0
403298000.0,-0.044,-0.0728,25.816,35044000.0,0
382997000.0,0.114,0.2582,11.24,38730000.0,1
839700000.0,0.0819999999999999,0.238,17.408,94500000.0,1
197452000.0,0.048,0.2059,1.897,-4810000.0,1
0.0,0.051,-0.0414,0.831,-8034000.0,0
341838000.0,0.156,0.1482,8.28,51952000.0,1
765860000.0,0.074,0.158,26.94,54690000.0,0
53513000.0,0.111,0.1198,4.763,15584000.0,1
26826108.0,0.153,0.0897,5.135,7422912.0,0
416972818.7919,0.052,0.0968,7.8872,80666442.95300001,0
113660331.0,0.157,0.0573,8.065,46573777.0,1
123571455.0,0.031,0.0417,4.647,1804435.0,0
1809000000.0,-0.025428413488115,0.0779499999999999,10.419,81000000.0,1
116149022.0,0.015,0.0271,9.311,2894817.0,0
15907849.0,0.025,0.0355,0.863,1062198.0,0
0.0,0.051,-0.0865,1.378,-8691000.0,0
241171000.0,0.042,0.0538,6.598,55866000.0,0
18489837.0,0.035,0.0486,6.613,916748.0,0
42339563.0,0.044,0.1021,3.0660000000000003,382388.0,0
266313000.0,0.031,0.0801,14.94,16296000.0,1
1819392445.4089,0.0013,0.0192,11.1746,92905194.6291,0
0.0,0.051,-0.0485,0.4535,-3206614.5354,0
10772192.0,-0.153,-0.1228,0.201,-1036375.0,0
205560000.0,0.02,0.0199,28.96,12889000.0,0
